niveau;code;libelle
4;11.07;Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes
4;12.00;Fabrication de produits à base de tabac
4;13.10;Préparation de fibres textiles et filature
4;13.20;Tissage
4;13.30;Ennoblissement textile
4;13.91;Fabrication d'étoffes à mailles
4;13.92;Fabrication d'articles textiles, sauf habillement
4;13.93;Fabrication de tapis et moquettes
4;13.94;Fabrication de ficelles, cordes et filets
4;13.95;Fabrication de non-tissés, sauf habillement
4;13.96;Fabrication d'autres textiles techniques et industriels
4;13.99;Fabrication d'autres textiles n.c.a.
4;14.11;Fabrication de vêtements en cuir
4;14.12;Fabrication de vêtements de travail
4;14.13;Fabrication de vêtements de dessus
4;14.14;Fabrication de vêtements de dessous
4;14.19;Fabrication d'autres vêtements et accessoires
4;14.20;Fabrication d'articles en fourrure
4;14.31;Fabrication d'articles chaussants à mailles
4;14.39;Fabrication d'autres articles à mailles
4;15.11;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures"
4;15.12;Fabrication d'articles de voyage, de maroquinerie et de sellerie
4;15.20;Fabrication de chaussures
4;16.10;Sciage et rabotage du bois
4;16.21;Fabrication de placage et de panneaux de bois
4;16.22;Fabrication de parquets assemblés
4;16.23;Fabrication de charpentes et d'autres menuiseries
4;16.24;Fabrication d'emballages en bois
4;16.29;"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie"
4;17.11;Fabrication de pâte à papier
4;17.12;Fabrication de papier et de carton
4;17.21;Fabrication de papier et carton ondulés et d'emballages en papier ou en carton
4;17.22;Fabrication d'articles en papier à usage sanitaire ou domestique
4;17.23;Fabrication d'articles de papeterie
4;17.24;Fabrication de papiers peints
4;17.29;Fabrication d'autres articles en papier ou en carton
4;18.11;Imprimerie de journaux
4;18.12;Autre imprimerie (labeur)
4;18.13;Activités de pré-presse
4;18.14;Reliure et activités connexes
4;18.20;Reproduction d'enregistrements
4;19.10;Cokéfaction
4;19.20;Raffinage du pétrole
4;20.11;Fabrication de gaz industriels
4;20.12;Fabrication de colorants et de pigments
4;20.13;Fabrication d'autres produits chimiques inorganiques de base
4;20.14;Fabrication d'autres produits chimiques organiques de base
4;20.15;Fabrication de produits azotés et d'engrais
4;20.16;Fabrication de matières plastiques de base
4;20.17;Fabrication de caoutchouc synthétique
4;20.20;Fabrication de pesticides et d'autres produits agrochimiques
4;20.30;Fabrication de peintures, vernis, encres et mastics
4;20.41;Fabrication de savons, détergents et produits d'entretien
4;20.42;Fabrication de parfums et de produits pour la toilette
4;20.51;Fabrication de produits explosifs
4;20.52;Fabrication de colles
4;20.53;Fabrication d'huiles essentielles
4;20.59;Fabrication d'autres produits chimiques n.c.a.
4;20.60;Fabrication de fibres artificielles ou synthétiques
4;21.10;Fabrication de produits pharmaceutiques de base
4;21.20;Fabrication de préparations pharmaceutiques
4;22.11;Fabrication et rechapage de pneumatiques
4;22.19;Fabrication d'autres articles en caoutchouc
4;22.21;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques
4;22.22;Fabrication d'emballages en matières plastiques
4;22.23;Fabrication d'éléments en matières plastiques pour la construction
4;22.29;Fabrication d'autres articles en matières plastiques
4;23.11;Fabrication de verre plat
4;23.12;Façonnage et transformation du verre plat
4;23.13;Fabrication de verre creux
4;23.14;Fabrication de fibres de verre
4;23.19;Fabrication et façonnage d'autres articles en verre, y compris verre technique
4;23.20;Fabrication de produits réfractaires
4;23.31;Fabrication de carreaux en céramique
4;23.32;Fabrication de briques, tuiles et produits de construction, en terre cuite
4;23.41;Fabrication d'articles céramiques à usage domestique ou ornemental
4;23.42;Fabrication d'appareils sanitaires en céramique
4;23.43;Fabrication d'isolateurs et pièces isolantes en céramique
4;23.44;Fabrication d'autres produits céramiques à usage technique
4;23.49;Fabrication d'autres produits céramiques
4;23.51;Fabrication de ciment
4;23.52;Fabrication de chaux et plâtre
4;23.61;Fabrication d'éléments en béton pour la construction
4;23.62;Fabrication d'éléments en plâtre pour la construction
4;23.63;Fabrication de béton prêt à l'emploi
4;23.64;Fabrication de mortiers et bétons secs
4;23.65;Fabrication d'ouvrages en fibre-ciment
4;23.69;Fabrication d'autres ouvrages en béton, en ciment ou en plâtre
4;23.70;Taille, façonnage et finissage de pierres
4;23.91;Fabrication de produits abrasifs
4;23.99;Fabrication d'autres produits minéraux non métalliques n.c.a.
4;24.10;Sidérurgie
4;24.20;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier
4;24.31;Étirage à froid de barres
4;24.32;Laminage à froid de feuillards
4;24.33;Profilage à froid par formage ou pliage
4;24.34;Tréfilage à froid
4;24.41;Production de métaux précieux
4;24.42;Métallurgie de l'aluminium
4;24.43;Métallurgie du plomb, du zinc ou de l'étain
4;24.44;Métallurgie du cuivre
4;24.45;Métallurgie des autres métaux non ferreux
4;24.46;Élaboration et transformation de matières nucléaires
4;24.51;Fonderie de fonte
4;24.52;Fonderie d'acier
4;24.53;Fonderie de métaux légers
4;24.54;Fonderie d'autres métaux non ferreux
4;25.11;Fabrication de structures métalliques et de parties de structures
4;25.12;Fabrication de portes et fenêtres en métal
4;25.21;Fabrication de radiateurs et de chaudières pour le chauffage central
4;25.29;Fabrication d'autres réservoirs, citernes et conteneurs métalliques
4;25.30;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central
4;25.40;Fabrication d'armes et de munitions
4;25.50;"Forge, emboutissage, estampage ; métallurgie des poudres"
4;25.61;Traitement et revêtement des métaux
4;25.62;Usinage
4;25.71;Fabrication de coutellerie
4;25.72;Fabrication de serrures et de ferrures
4;25.73;Fabrication d'outillage
4;25.91;Fabrication de fûts et emballages métalliques similaires
4;25.92;Fabrication d'emballages métalliques légers
4;25.93;Fabrication d'articles en fils métalliques, de chaînes et de ressorts
4;25.94;Fabrication de vis et de boulons
4;25.99;Fabrication d'autres produits métalliques n.c.a.
4;26.11;Fabrication de composants électroniques
4;26.12;Fabrication de cartes électroniques assemblées
4;26.20;Fabrication d'ordinateurs et d'équipements périphériques
4;26.30;Fabrication d'équipements de communication
4;26.40;Fabrication de produits électroniques grand public
4;26.51;Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation
4;26.52;Horlogerie
4;26.60;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques
4;26.70;Fabrication de matériels optique et photographique
4;26.80;Fabrication de supports magnétiques et optiques
4;27.11;Fabrication de moteurs, génératrices et transformateurs électriques
4;27.12;Fabrication de matériel de distribution et de commande électrique
4;27.20;Fabrication de piles et d'accumulateurs électriques
4;27.31;Fabrication de câbles de fibres optiques
4;27.32;Fabrication d'autres fils et câbles électroniques ou électriques
4;27.33;Fabrication de matériel d'installation électrique
4;27.40;Fabrication d'appareils d'éclairage électrique
4;27.51;Fabrication d'appareils électroménagers
4;27.52;Fabrication d'appareils ménagers non électriques
4;27.90;Fabrication d'autres matériels électriques
4;28.11;Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules
4;28.12;Fabrication d'équipements hydrauliques et pneumatiques
4;28.13;Fabrication d'autres pompes et compresseurs
4;28.14;Fabrication d'autres articles de robinetterie
4;28.15;Fabrication d'engrenages et d'organes mécaniques de transmission
4;28.21;Fabrication de fours et brûleurs
4;28.22;Fabrication de matériel de levage et de manutention
4;28.23;Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)
4;28.24;Fabrication d'outillage portatif à moteur incorporé
4;28.25;Fabrication d'équipements aérauliques et frigorifiques industriels
4;28.29;Fabrication de machines diverses d'usage général
4;28.30;Fabrication de machines agricoles et forestières
4;28.41;Fabrication de machines de formage des métaux
4;28.49;Fabrication d'autres machines-outils
4;28.91;Fabrication de machines pour la métallurgie
4;28.92;Fabrication de machines pour l'extraction ou la construction
4;28.93;Fabrication de machines pour l'industrie agro-alimentaire
4;28.94;Fabrication de machines pour les industries textiles
4;28.95;Fabrication de machines pour les industries du papier et du carton
4;28.96;Fabrication de machines pour le travail du caoutchouc ou des plastiques
4;28.99;Fabrication d'autres machines d'usage spécifique n.c.a.
